PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,B25D,EFSW,BE,18,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B5D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,B5D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,B5D,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P11
EIL,B5D,SEAMLESS,BE,3,12,STD,B-36.10,ASTM A335 GR.P11
EIL,B5D,SEAMLESS,BE,14,14,XS,B-36.10,ASTM A335 GR.P11
EIL,B5D,EFSW,BE,16,18,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B5D,EFSW,BE,20,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B65D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,B65D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,B65D,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P11
EIL,B65D,SEAMLESS,BE,3,4,STD,B-36.10,ASTM A335 GR.P11
EIL,B65D,SEAMLESS,BE,6,8,STD,B-36.10,ASTM A335 GR.P11
EIL,B65D,SEAMLESS,BE,10,14,XS,B-36.10,ASTM A335 GR.P11
EIL,B65D,EFSW,BE,16,16,XS,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B69D,SEAMLESS,PE,0.5,0.5,XXS,B-36.10,ASTM A335 GR.P11
EIL,B69D,SEAMLESS,PE,0.75,1.5,S160,B-36.10,ASTM A335 GR.P11
EIL,B69D,SEAMLESS,BE,2,2,S160,B-36.10,ASTM A335 GR.P11
EIL,B69D,SEAMLESS,BE,3,12,XS,B-36.10,ASTM A335 GR.P11
EIL,B69D,SEAMLESS,BE,14,14,S60,B-36.10,ASTM A335 GR.P11
EIL,B69D,EFSW,BE,16,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,B4F,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P5
EIL,B4F,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P5
EIL,B4F,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A335 GR.P5
EIL,B4F,SEAMLESS,BE,3,3,STD,B-36.10,ASTM A335 GR.P5
EIL,B4F,SEAMLESS,BE,4,8,STD,B-36.10,ASTM A335 GR.P5
EIL,B4F,SEAMLESS,BE,10,14,XS,B-36.10,ASTM A335 GR.P5
EIL,B4F,EFSW,BE,16,16,XS,B-36.10,ASTM A691 GR.5 CR CL.42
EIL,B4F,EFSW,BE,18,24,CALC,B-36.10,ASTM A691 GR.5 CR CL.42
EIL,B1N,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP316L
EIL,B1N,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP316L
EIL,B1N,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A312 TP316L
EIL,B1N,SEAMLESS,BE,3,4,10S,B-36.19,ASTM A312 TP316L
EIL,B1N,EFSW,BE,6,6,10S,B-36.19,ASTM A312 TP316L
EIL,B1N,EFSW,BE,8,8,6.35MM,B-36.19,ASTM A312 TP316L
EIL,B1N,EFSW,BE,10,10,6.35MM,B-36.19,ASTM A358 TP316L CL.1
EIL,B1N,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP316L CL.1
EIL,B1N,EFSW,BE,14,14,7.92MM,B-36.19,ASTM A358 TP316L CL.1
EIL,B1N,EFSW,BE,16,18,9.53MM,B-36.19,ASTM A358 TP316L CL.1
EIL,B1N,EFSW,BE,20,24,CALC,B-36.19,ASTM A358 TP316L CL.1
EIL,B67V,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,SEAMLESS,BE,3,4,10S,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,SEAMLESS,BE,6,6,10S,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,B67V,EFSW,BE,12,14,6.35MM,B-36.19,ASTM A790(UNS32205/31803 DUAL)
EIL,D1A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,D1A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,D1A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,D1A,SEAMLESS,BE,3,3,STD,B-36.10,ASTM A106 GR.B
EIL,D1A,SEAMLESS,BE,4,8,XS,B-36.10,ASTM A106 GR.B
EIL,D1A,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A106 GR.B
EIL,D1A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.12
EIL,D2A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
EIL,D2A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A106 GR.B
EIL,D2A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A106 GR.B
EIL,D2A,SEAMLESS,BE,3,3,STD,B-36.10,ASTM A106 GR.B
EIL,D2A,SEAMLESS,BE,4,8,XS,B-36.10,ASTM A106 GR.B
EIL,D2A,SEAMLESS,BE,10,12,XS,B-36.10,ASTM A106 GR.B
EIL,D2A,EFSW,BE,16,16,S60,B-36.10,ASTM A672 GR.B60 CL.12
EIL,D2A,EFSW,BE,18,24,CALC,B-36.10,ASTM A672 GR.B60 CL.12
EIL,D4A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,BE,2,2,XS,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,BE,3,3,STD,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,BE,4,4,STD,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,BE,6,10,XS,B-36.10,ASTM A333 GR.6
EIL,D4A,SEAMLESS,BE,12,14,CALC,B-36.10,ASTM A333 GR.6
EIL,D4A,EFSW,BE,16,24,CALC,B-36.10,A671GR.CC60 CL.32
EIL,D5A,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A106 GR.B
